user,uid,sum,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08
Tramparam Parampampam,6118467,25,0,0,0,6,0,10,2,0,1,2,4,0
piwib,13812966,24,0,2,0,0,0,3,3,14,1,1,0,0
Nick Fiury,10725916,24,0,5,0,0,8,11,0,0,0,0,0,0
jekhor,29431,24,0,0,0,0,0,0,1,19,0,0,0,4
Yaugen,5264937,23,0,3,2,0,4,2,0,4,6,2,0,0
vipvoronov,6332319,23,0,5,0,0,0,0,0,0,0,0,15,3
Refl_ex,3275506,23,0,1,10,1,0,3,0,1,1,2,4,0
BelarusName,14682434,23,0,0,0,8,5,0,6,3,1,0,0,0
zorglubu,6466263,23,0,0,0,1,15,2,2,3,0,0,0,0
Sparty0,1580817,23,0,1,0,0,0,0,20,2,0,0,0,0
MozyrPTO,1739067,22,2,0,15,1,0,0,4,0,0,0,0,0
Jorisbo,1983103,22,3,2,1,0,8,5,1,1,1,0,0,0
imprudance,1705354,22,0,0,0,0,0,0,0,0,2,1,4,15
BasilBY,2262200,21,0,1,0,0,2,1,3,1,1,5,4,3
EverDice,13841132,21,0,0,0,16,3,1,0,0,1,0,0,0
Pub82minsk,15669312,21,0,0,0,0,0,0,0,19,1,1,0,0
Alex tiunchik,8316005,20,3,6,0,0,0,1,1,2,7,0,0,0
palsciuk,126537,20,3,5,4,1,2,0,0,0,0,4,0,1
urli_by,4011047,20,4,6,0,1,4,4,1,0,0,0,0,0
andklv,32716,19,0,0,0,11,4,4,0,0,0,0,0,0
Андрэй Беларэцкі,14100229,19,0,0,0,0,5,4,6,0,0,1,3,0
RoboD,536107,19,1,1,4,1,5,3,3,1,0,0,0,0
kpv8,10492626,19,0,2,0,12,0,0,1,3,0,0,0,1
Mixon,190568,18,5,5,2,0,3,0,0,2,0,0,1,0
Bravo_two_zer0,8891425,18,1,0,0,4,0,1,9,0,0,0,3,0
Sagit_BY,487175,18,2,0,0,5,0,3,0,1,0,0,0,7
Timur Rossolov,11941203,18,0,0,0,0,0,12,1,1,3,0,1,0
Misha Boiarkin,12819325,17,3,0,1,0,4,0,2,7,0,0,0,0
laflovver,12671276,17,4,10,1,1,1,0,0,0,0,0,0,0
Jan Olieslagers,370729,17,1,1,1,3,3,2,0,2,1,0,3,0
avsej,217270,17,3,9,3,2,0,0,0,0,0,0,0,0
Daniele_Locatelli,12418425,17,0,0,5,1,2,8,0,0,0,1,0,0
Aleksey&K,13401219,17,0,0,9,7,0,0,0,0,1,0,0,0
bulbaZavr,1196930,16,2,2,2,1,1,0,0,0,0,6,2,0
Alexey ilving,3577265,16,4,0,1,0,3,1,0,0,0,0,1,6
Vitaly Zdanevich,3365407,16,7,1,3,3,1,1,0,0,0,0,0,0
SADR2,10898653,16,0,2,0,3,1,2,2,0,3,0,2,1
Helkern,4380722,16,0,6,1,0,0,0,0,3,3,1,0,2
Aleks-Berlin,85218,16,0,0,1,0,13,0,0,0,2,0,0,0
KelZen,1239919,16,0,0,1,4,11,0,0,0,0,0,0,0
Sergey_Sape,13589968,16,0,0,0,1,7,8,0,0,0,0,0,0
Tatiyanik31,10655824,16,0,0,0,0,10,5,1,0,0,0,0,0
Zenik19,5495294,16,0,0,0,0,0,7,0,1,3,0,0,5
Ser_Alexey,10055679,15,1,6,0,0,0,0,0,0,0,0,0,8
mark0182,2897199,15,1,0,3,4,3,0,0,2,1,0,0,1
Путник,585553,15,2,9,0,2,0,2,0,0,0,0,0,0
Cine_flick,13664115,15,0,0,0,3,0,5,4,0,3,0,0,0
Monstrofil,10778041,15,0,3,0,0,0,0,2,3,3,3,1,0
Kos_nedogor,10508604,14,4,0,0,0,0,0,0,0,0,7,3,0
RSammy,12223403,14,1,0,0,2,2,0,1,1,2,4,1,0
wampire,318793,14,0,3,1,0,0,0,0,0,7,0,3,0
KSM86,12386967,14,0,2,7,0,1,0,0,0,0,0,0,4
outer haven,11423650,14,0,0,2,3,9,0,0,0,0,0,0,0
erymski,336710,14,0,0,0,0,0,0,0,0,4,1,9,0
kubahahaha,1479852,13,0,0,0,1,9,0,0,0,0,0,0,3
Sync737,3751815,12,1,1,2,1,0,6,0,0,1,0,0,0
sirius2,11851496,12,1,4,4,1,2,0,0,0,0,0,0,0
ChehVlad,335224,12,0,8,2,1,0,0,0,0,1,0,0,0
TrickyFoxy,11528195,12,0,0,0,0,0,2,1,0,1,1,7,0
Veska,310568,11,2,0,3,0,0,0,2,0,2,0,2,0
Hamer13,1316964,11,1,4,1,0,0,0,0,0,2,2,0,1
filu,675543,11,0,0,2,7,0,2,0,0,0,0,0,0
alexan_p,14620691,11,0,0,0,7,0,0,0,0,3,1,0,0
marczoutendijk,606555,11,0,0,0,5,3,0,1,2,0,0,0,0
Витя Ништ,3671188,11,0,0,0,0,5,2,1,3,0,0,0,0
render21x,16413730,11,0,0,0,0,0,0,0,0,0,1,9,1
flierfy,445671,11,0,1,0,0,0,0,2,4,0,4,0,0
charl3s,8019013,11,0,0,1,4,3,1,0,0,1,0,0,1
Aurimas Fišeras,651869,11,0,0,3,5,0,0,0,0,1,0,0,2
worldconflictmap,11410528,11,0,0,0,0,0,0,2,8,0,1,0,0
Andy_Tol,13236552,10,3,5,0,0,0,2,0,0,0,0,0,0
Иван12345,8414345,10,1,4,1,0,0,0,0,1,1,0,1,1
Sparrow93,14016303,10,0,2,0,0,0,0,2,0,0,0,0,6
andemik,2170759,10,0,1,5,1,0,0,0,0,0,0,3,0
Andrei14,3744895,10,0,0,1,1,1,0,0,3,3,0,0,1
Lialiuika,10678645,10,0,0,0,3,0,5,2,0,0,0,0,0
Pavel Chyzhonak,12182281,10,0,0,0,2,3,1,1,0,0,0,2,1
Green_Panther,13409046,10,0,0,0,0,2,7,0,0,1,0,0,0
tomzyl,530338,10,0,0,3,3,2,0,0,0,0,1,1,0
Микола Семенчук,3577590,10,0,2,7,0,0,1,0,0,0,0,0,0
Misha_E,1233610,9,5,1,2,1,0,0,0,0,0,0,0,0
Jyryq,13203553,9,4,0,0,1,2,1,0,0,0,1,0,0
Atalanttore,291453,9,0,2,1,0,1,2,0,0,0,0,1,2
porych,302943,9,0,0,2,0,0,0,0,0,5,0,1,1
Giza_Up,13196817,9,0,0,0,7,0,0,0,1,1,0,0,0
Игар,3556459,9,0,0,0,0,1,0,0,0,4,1,3,0
mrkvon,1186038,9,0,0,0,0,5,2,0,2,0,0,0,0
ChrissW-R1,251543,8,2,0,0,0,1,0,2,0,0,2,1,0
Kostik,384084,8,0,1,1,0,0,4,0,0,1,0,0,1
Axelbant,4459889,8,0,0,3,0,0,3,0,0,0,0,2,0
illia ivanou,12361667,8,0,0,0,0,1,2,3,0,2,0,0,0
vnogetopor ✅,13186756,8,0,0,0,0,0,0,0,3,3,1,0,1
Poliakoff Mykhailo,6110846,8,0,1,3,1,0,0,0,0,1,1,1,0
osm-pt-account,12419182,8,0,0,0,3,2,0,0,0,0,2,1,0
Sobin,566384,7,1,1,0,2,0,0,0,0,0,0,3,0
IBA_P,10741533,7,2,0,1,0,0,0,2,1,1,0,0,0
Dzmitry Karachun,1784839,7,0,1,2,0,0,0,0,0,0,0,0,4
VLD071,8970376,7,0,2,2,0,2,1,0,0,0,0,0,0
DeadFriend,14544674,7,0,0,5,0,1,0,0,0,1,0,0,0
howtech,10412913,7,0,0,0,3,0,0,0,0,0,1,3,0
ivanbranco,11220113,7,0,0,0,1,0,0,0,0,1,1,0,4
Josef73,213831,7,0,0,0,0,3,2,2,0,0,0,0,0
0lek,15038994,7,0,0,0,0,0,3,1,3,0,0,0,0
MAS2020,11097131,7,0,0,0,0,0,0,0,2,1,0,0,4
tunnelbauer,47756,7,0,0,0,0,0,0,0,1,4,0,0,2
Alexander Krakasevich,3788273,6,1,0,0,0,0,0,0,1,1,2,0,1
Андрей Бубнович,3615841,6,1,0,0,0,0,0,0,3,0,2,0,0
glebpl,2278394,6,1,0,0,0,0,0,0,0,2,3,0,0
VLD166,10744284,6,1,0,0,0,0,0,0,0,2,0,0,3
Hutouski,8760997,6,0,1,0,1,4,0,0,0,0,0,0,0
Саша Лобанова,12381966,6,0,1,0,0,0,0,0,0,0,3,2,0
Moltik,8399540,6,0,0,2,0,1,0,0,0,0,2,1,0
Klioda,661202,6,0,0,0,0,0,0,1,2,2,1,0,0
Mikitaqz,10243111,6,4,1,0,0,0,0,1,0,0,0,0,0
ФениксБорисов,11135676,5,2,2,0,0,0,0,0,1,0,0,0,0
Юлия Подсадная 2020,11651453,5,1,0,0,0,2,0,0,0,0,0,0,2
richveb,4701577,5,0,2,0,1,0,0,0,0,0,1,1,0
krotvodovorot,1320246,5,0,1,0,0,0,1,0,1,0,1,1,0
fomalgayt,14329935,5,0,0,1,0,0,0,1,0,0,2,0,1
Karrham,737970,5,0,0,1,2,0,0,0,0,0,0,1,1
del_account,12511042,5,0,0,0,0,3,1,1,0,0,0,0,0
Mashin,187467,5,1,0,3,0,0,1,0,0,0,0,0,0
jmaspons,11725140,5,0,0,2,2,0,0,0,0,0,1,0,0
P_2000,14667852,5,0,0,0,1,1,3,0,0,0,0,0,0
englu,4325924,5,0,0,0,0,0,2,2,1,0,0,0,0
Александр Данилов,560106,4,2,0,1,0,0,0,1,0,0,0,0,0
borism346,74135,4,1,0,0,1,0,0,1,0,0,0,0,1
kakub,211288,4,1,0,0,0,0,0,0,0,0,0,1,2
Postoyalko,6868146,4,1,1,0,0,0,0,0,0,1,0,0,1
aleksfrance,2015584,4,0,1,0,2,1,0,0,0,0,0,0,0
kalachev,5133347,4,0,2,0,0,1,0,1,0,0,0,0,0
wvdp,436419,4,0,1,0,0,2,0,1,0,0,0,0,0
Artigeco,12320338,4,0,1,0,2,1,0,0,0,0,0,0,0
Саня Л,10067914,4,0,1,1,0,1,0,0,1,0,0,0,0
Bashlakoff,3374022,4,0,2,0,0,0,0,0,1,1,0,0,0
